filename,repository,url
00220027221104719.pdf,Dataverse,https://dataverse.harvard.edu/dataverse/sabinecarey
0894439320918318.pdf,Dataverse,https://doi.org/10.7910/DVN/YDGVJ4
1-s2.0-S0261379424000568-main.pdf,Dataverse,https://doi.org/10.7910/DVN/KYQBHT
1-s2.0-S0261379425000150-main.pdf,Dataverse,https://doi.org/10.7910/DVN/TEWT1N
1-s2.0-S0927537122001956-main.pdf,Dataverse,https://doi.org/10.7910/DVN/YDK1ZI
10242589221079151.pdf,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9D9F5M
10242589221079151.pdf,Dataverse,https://doi.org/10.7910/DVN/9D9F5M
1354066120923028.pdf,Dataverse,https://doi.org/10.7910/DVN/LZHTBE
2053168015589216.pdf,Dataverse,http://thedata.harvard.edu/dvn/dv/researchandpolitics
2053168019900822.pdf,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WQRZHS
2053168019900822.pdf,Dataverse,https://doi.org/10.7910/DVN/WQRZHS
20531680221116570.pdf,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10
20531680221116570.pdf,Dataverse,https://doi.org/10.7910/DVN/1XGQF2
20531680221144237.pdf,Dataverse,https://doi.org/10.7910/DVN/JQYLDQ
2378023117750533.pdf,Dataverse,http://dx.doi.org/10.7910/DVN/DUMGLT
2378023117750533.pdf,Dataverse,https://doi.org/10.7910/DVN/DUMGLT
American%20J%20Political%20Sci%20-%202023%20-%20Auer%20-%20Electoral%20Discrimination%20Party%20Rationale%20and%20the%20Underrepresentation%20of.pdf,Dataverse,https://doi.org/10.7910/DVN/EIINMP
American%20J%20Political%20Sci%20-%202024%20-%20Koos%20-%20The%20gendered%20costs%20of%20stigma%20How%20experiences%20of%20conflict%E2%80%90related%20sexual%20violence.pdf,Dataverse,https://doi.org/10.7910/DVN/U2591T
American%20J%20Political%20Sci%20-%202024%20-%20Lang%20-%20Biased%20bureaucrats%20and%20the%20policies%20of%20international%20organizations.pdf,Dataverse,https://doi.org/10.7910/DVN/IPGCTN
Context%20driven%20attitude%20formation%20the%20difference%20between%20supporting%20free%20trade%20in%20the%20abstract%20and%20supporting%20specific%20trade%20agreements.pdf,Dataverse,https://doi.org/10.7910/DVN/FDSXMR
Debus2022_Article_ParteienwettbewerbUndWahrschei.pdf,Dataverse,https://doi.org/10.7910/DVN/XIL6OW
European%20J%20Political%20Res%20-%202022%20-%20K%20NIG%20-%20Government%20dominance%20and%20the%20role%20of%20opposition%20in%20parliamentary%20democracies.pdf,Dataverse,https://doi.org/10.7910/DVN/TKGTOO
European%20J%20Political%20Res%20-%202023%20-%20MADER%20-%20International%20threats%20and%20support%20for%20European%20security%20and%20defence%20integration%20.pdf,Dataverse,https://doi.org/10.7910/DVN/7OY1CI
European%20J%20Political%20Res%20-%202023%20-%20STEINER%20-%20Subjective%20losers%20of%20globalization.pdf,Dataverse,https://doi.org/10.7910/DVN/WIHAOV
Helbling2020_Article_AttitudesTowardsClimateChangeM.pdf,Dataverse,https://doi.org/10.7910/DVN/MJIVGR
Hollenbach-Silva-2019.pdf,Dataverse,https://dataverse.harvard.edu/dataverse/jop
Lu_discrete_choice_data_with_unobserved_heterogeneity.pdf,Dataverse,https://doi.org/10.7910/DVN/1WZCEA
PaG%2013%20-%20The%20Influence%20of%20Age%20on%20Citizens%27%20Preferences%20for%20Age-Related%20Descriptive%20Representation.pdf,Dataverse,https://doi.org/10.7910/DVN/Q5F157
Public%20Administration%20-%202023%20-%20Sievert%20-%20Unpacking%20the%20effects%20of%20burdensome%20state%20actions%20on%20citizens%20policy%20perceptions.pdf,Dataverse,https://doi.org/10.7910/DVN/Q2WLFS
Read%20Between%20the%20Lines%20-%20How%20Linguistics%20Can%20Unearth%20Parties%20True%20Voting%20Advice%20Application%20Positions_1.pdf,Dataverse,https://doi.org/10.7910/DVN/PAH9O1
SocSci_v11_297to339.pdf,Dataverse,https://dataverse.harvard.edu/privateurl.xhtml?token=c81114da-6e97-44bb-9272-f19b302afcb9
Terrorism%20and%20Immigration%20Policy%20Preferences.pdf,Dataverse,https://doi.org/10.7910/DVN/FFUWSF
Trust_and_cooperative_behavior.pdf,Dataverse,https://doi.org/10.7910/DVN/LDUMNY
a-political-history-forecast-of-bloc-support-in-the-2025-german-federal-election.pdf,Dataverse,https://doi.org/10.7910/DVN/Y1UG9P
abou-chadi-et-al-2024-rental-market-risk-and-radical-right-support-1.pdf,Dataverse,https://doi.org/10.7910/DVN/TYQNAE
affective-partisan-polarization-and-moral-dilemmas-during-the-covid-19-pandemic.pdf,Dataverse,https://doi.org/10.7910/DVN/SURAOE
ajps.12475.pdf,Dataverse,https://doi.org/10.7910/DVN/PGFOXW
anticipated_election_result_and_protest_voting_why_and_when_canadian_voters_signal_discontent.pdf,Dataverse,https://doi.org/10.7910/DVN/EZDWZH
applsci-11-03610.pdf,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/L4OAKN
assessing-the-relative-influence-of-party-unity-on-vote-choice-evidence-from-a-conjoint-experiment-1.pdf,Dataverse,https://doi.org/10.7910/DVN/V294KT
back-et-al-2022-populist-radical-parties-pariahs-and-coalition-bargaining-delays.pdf,Dataverse,https://doi.org/10.7910/DVN/LFWGKZ
back-et-al-2025-incumbency-advantages-prime-minister-replacements-and-government-formation.pdf,Dataverse,https://doi.org/10.7910/DVN/CJIVXC
backlash-to-policy-decisions-how-citizens-react-to-immigrants-rights-to-demonstrate.pdf,Dataverse,https://doi.org/10.7910/DVN/NHSJMJ
berger-j%C3%A4ger-2023-do-electoral-candidates-reflect-or-select-campaign-issues-the-influence-of-electoral-manifestos-on.pdf,Dataverse,https://doi.org/10.7910/DVN/RCU7LS
bmj.l6573.full.pdf,Dataverse,https://doi.org/10.7910/DVN/YHJUCJ
bringing-the-world-to-the-classroom-teaching-statistics-and-programming-in-a-project-based-setting-1.pdf,Dataverse,https://doi.org/10.7910/DVN/JQLNCT
can-monuments-to-victims-increase-tolerance-1.pdf,Dataverse,https://doi.org/10.7910/DVN/UKZAEX
coalition-mood-in-european-parliamentary-democracies-1.pdf,Dataverse,https://doi.org/10.7910/DVN/FEQSC7
computing-quantities-of-interest-and-their-uncertainty-using-bayesian-simulation.pdf,Dataverse,https://doi.org/10.7910/DVN/ONY6WJ
conceptions-of-national-identity-and-ambivalence-towards-immigration.pdf,Dataverse,https://doi.org/10.7910/DVN/A48JP7
debus-et-al-2025-what-do-germans-of-russian-and-turkish-migration-background-think-about-sanctions-against-russia.pdf,Dataverse,https://dataverse.harvard
debus-et-al-2025-what-do-germans-of-russian-and-turkish-migration-background-think-about-sanctions-against-russia.pdf,Dataverse,https://doi.org/10.7910/DVN/TM694O
debus-schulte-2022-how-party-competition-shapes-ethnic-parties-positions-on-migration-and-immigration.pdf,Dataverse,https://doi.org/10.7910/DVN/GJ0GAI
diener-2025-age-and-representation-styles-are-young-candidates-more-likely-to-prioritize-their-voters-over-their-own.pdf,Dataverse,https://doi.org/10.7910/DVN/WESEBY
divided-we-unite-the-nature-of-partyism-and-the-role-of-coalition-partnership-in-europe.pdf,Dataverse,https://doi.org/10.7910/DVN/YCDJNT
does-accommodation-work-mainstream-party-strategies-and-the-success-of-radical-right-parties.pdf,Dataverse,https://doi.org/10.7910/DVN/GBWB8I
does-poverty-undermine-cooperation-in-multiethnic-settings-evidence-from-a-cooperative-investment-experiment-1.pdf,Dataverse,https://doi.org/10.7910/DVN/OQTUZM
e045176.full.pdf,Dataverse,https://doi.org/10.7910/DVN/OOTXIW
fpos-04-1006711.pdf,Dataverse,https://doi.org/10.7910/DVN/2ZOPHQ
fsoc-05-00059.pdf,Dataverse,https://doi.org/10.7910/DVN/G0W9MH
glaessel_ajps.12501.pdf,Dataverse,https://doi.org/10.7910/DVN/AZFHYN
gonzalez-traunmuller-2023-the-political-consequences-of-wartime-sexual-violence-evidence-from-a-list-experiment.pdf,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QWRVHB
gonzalez-traunmuller-2023-the-political-consequences-of-wartime-sexual-violence-evidence-from-a-list-experiment.pdf,Dataverse,https://doi.org/10.7910/DVN/QWRVHB
have-europeans-grown-tired-of-democracy-new-evidence-from-eighteen-consolidated-democracies-19812018.pdf,Dataverse,https://doi.org/10.7910/DVN/Y5Y6VD
heckmann-et-al-2025-who-s-afraid-of-sahra-understanding-the-shift-in-votes-towards-germany-s-bundnis-sahra-wagenknecht.pdf,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WXSCO9
heckmann-et-al-2025-who-s-afraid-of-sahra-understanding-the-shift-in-votes-towards-germany-s-bundnis-sahra-wagenknecht.pdf,Dataverse,https://doi.org/10.7910/DVN/WXSCO9
helbling-et-al-2025-zero-sum-thinking-and-the-cultural-threat-of-muslim-religious-rights.pdf,Dataverse,https://doi.org/10.7910/DVN/43DQVR
how-do-information-campaigns-influence-migration-decisions-2.pdf,Dataverse,https://doi.org/10.7910/DVN/YZPGSVDVN/YZPGSV
how-open-lists-undermine-the-electoral-support-of-cohesive-parties.pdf,Dataverse,https://doi.org/10.7910/DVN/WUTLH8
how-to-improve-the-substantive-interpretation-of-regression-results-when-the-dependent-variable-is-logged.pdf,Dataverse,https://doi.org/10.7910/DVN/KZWKT6
iiad241.pdf,Dataverse,https://doi.org/10.7910/DVN/L3C3GF
illiberal-communication-and-election-intervention-during-the-refugee-crisis-in-germany.pdf,Dataverse,https://doi.org/10.7910/DVN/T2FZK3
jcac008.pdf,Dataverse,https://doi.org/10.7910/DVN/6VYA0U
journal.pone.0230304.pdf,Dataverse,https://doi.org/10.7910/DVN/X1NXJY
journal.pone.0300661.pdf,Dataverse,https://doi.org/10.7910/DVN/1W4JLK
k%C3%B6nig-eschenwecker-2025-the-european-court-of-justice-and-legal-european-integration-2.pdf,Dataverse,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IQZYGC
k%C3%B6nig-eschenwecker-2025-the-european-court-of-justice-and-legal-european-integration-2.pdf,Dataverse,https://doi.org/10.7910/DVN/IQZYGC
